Latitude,Longitude,Depth_km,Magnitude,Cluster
34.376666666667,-118.62833333333,12.53,2.62,1
49.4797,155.9804,46.212,4.3,2
31.8122,-93.3861,5.0,2.9,1
26.7466,92.3604,41.698,4.5,2
5.3874,126.3197,56.09,4.2,3
-28.2562,-63.1342,593.431,5.6,0
-21.1325,-69.6067,69.8,4.1,3
54.343,-160.4086,10.0,3.0,1
54.3109,-160.4545,35.0,3.1,1
29.8426,130.6165,51.599,4.3,2
1.6383,99.5231,167.031,4.2,3
-6.357,147.6044,66.178,4.7,3
58.202,-155.95,157.4,2.8,1
52.4404,160.8249,10.0,4.3,2
-20.1899,-177.6541,502.591,4.5,0
-7.561,119.4745,270.512,4.1,3
56.842,-155.482,5.8,2.5,1
28.372,139.841,406.266,4.1,0
42.9656,145.4249,65.812,4.3,2
36.081,-120.18583333333,7.41,2.52,1
56.3401,-148.7256,10.0,2.9,1
12.402,-90.2957,10.0,4.2,3
-5.5489,102.247,10.0,4.9,3
46.4211,149.7086,188.916,4.1,2
5.5943,126.3364,57.556,4.3,3
49.6988,158.8076,10.0,5.1,2
64.783,-149.034,0.8,2.8,1
-5.5338,102.2674,10.0,5.1,3
31.964,-103.122,8.8135,3.3,1
27.1217,140.4931,209.188,4.3,2
-9.9894,154.1088,10.0,4.2,3
-10.3735,154.122,10.0,4.0,3
54.3846,-160.0284,35.0,2.6,1
-11.0621,-77.9333,48.19,4.6,3
42.7277,144.578,61.904,4.3,2
-5.5456,102.3691,25.0,5.4,3
60.4696,-139.68,5.0,2.6,1
-4.5433,153.2228,84.163,5.2,3
36.579833333333,-121.22766666667,4.68,2.54,1
35.4532,135.6043,352.615,4.2,0
60.5788,-139.6369,5.0,4.1,1
-9.2676,124.3365,32.198,4.4,3
11.8324,-88.1576,10.0,4.3,3
-2.2499,139.1874,25.657,4.4,3
54.391,-161.763,3.0,2.8,1
40.8581,78.066,10.0,4.2,2
-20.5344,-178.9538,623.051,4.6,0
-5.3111,152.3367,43.703,4.5,3
-22.5252,-68.5918,108.198,4.6,3
-16.5437,-178.6879,501.047,4.0,0
51.5493,177.8198,93.27,4.0,2
56.772,-155.865,27.7,2.8,1
52.541,-169.458,13.1,2.7,1
54.4708,-160.4175,35.0,3.1,1
-28.3595,-177.6876,10.0,4.2,3
52.16,-168.366,4.2,2.8,1
-26.2091,178.7099,575.919,4.8,0
-56.3438,-26.7254,66.373,4.6,3
-8.4443,-75.2197,128.399,4.8,3
60.598,-139.881,0.0,2.7,1
23.3943,82.5615,10.0,4.2,2
47.4515,-128.8479,10.0,3.4,1
57.8398,155.8146,10.0,4.5,2
-4.9555,144.7364,92.655,4.5,3
18.555333333333,-66.294833333333,70.11,2.95,1
52.948,-167.618,47.6,3.0,1
60.6047,-139.9426,5.0,2.6,1
-15.173,-175.2777,17.564,4.7,3
18.087833333333,-66.1745,17.94,2.55,1
56.523,-156.094,0.8,2.5,1
-8.568,112.9143,136.963,4.5,3
54.109,-162.497,6.2,2.9,1
52.0569,-172.2968,56.272,3.5,1
53.85,-164.475,21.8,2.7,1
-17.9161,-178.2736,609.741,4.3,0
54.072,-162.493,6.5,2.8,1
41.9193,-119.5308,3.2856,2.66,1
34.314,-119.52716666667,2.21,2.93,1
-6.2398,151.8498,10.0,4.7,3
-30.5085,-177.1039,10.0,4.2,3
29.0344,138.6988,492.848,4.7,0
60.4542,-139.64,5.0,2.9,1
54.426,-159.82,28.0,3.0,1
-21.0565,-68.7168,128.037,4.3,3
31.9766,141.0053,10.0,4.5,2
56.572,-148.729,21.1,3.2,1
54.317,-161.573,0.3,3.0,1
18.545666666667,-66.501833333333,13.29,3.29,1
56.3655,-148.7863,19.167,2.8,1
-14.5577,-176.9372,10.0,5.6,3
30.3457,138.3942,427.731,4.3,0
-3.2176,143.5499,10.0,4.4,3
3.9623,97.3735,9.98,4.2,3
-21.0771,168.6603,10.0,4.9,3
-16.2898,66.8529,10.0,4.7,3
-20.8871,68.3582,10.0,4.5,3
50.508,-174.998,32.1,3.2,1
68.809,-145.54,1.4,2.9,1
51.6121,-175.5396,61.044,3.9,1
37.0433,-96.1081,5.0,2.5,1
-16.0559,168.0852,262.614,4.1,3
-20.1254,-172.8213,10.0,4.2,3
-31.0094,-69.7696,117.329,4.4,3
-3.3888,143.6484,10.0,4.6,3
31.529,-104.015,7.5995,2.7,1
-22.5402,-67.6083,183.726,4.2,3
-60.2506,-61.856,10.0,5.1,3
-0.4948,-20.0117,10.0,4.6,3
-23.7781,179.867,539.321,4.4,0
-40.6351,176.1337,22.908,4.0,3
-3.4284,143.6869,10.0,4.1,3
60.561,-139.9659,5.0,2.5,1
52.086,-30.5858,10.0,4.3,2
57.149,-155.515,74.0,2.5,1
40.5788,-119.5905,4.0,3.41,1
52.1319,160.7323,10.0,4.4,2
50.2714,156.439,56.548,4.3,2
32.173,-102.161,8.4473,2.8,1
31.652,-104.353,7.8943,2.7,1
31.666,-104.355,7.4072,2.7,1
54.774,-156.897,13.5,4.1,1
35.548166666667,-120.78633333333,4.79,2.82,1
54.772,-156.886,12.0,4.2,1
54.747,-156.915,24.4,3.0,1
58.234,-155.924,13.4,2.6,1
65.439,-151.528,2.6,2.6,1
23.7096,70.4196,10.0,4.6,2
56.5713,-148.8258,10.0,2.6,1
34.376333333333,-118.62633333333,10.91,2.52,1
-12.1351,167.293,288.191,4.8,3
31.67,-104.366,6.0999,2.6,1
-6.1939,147.8366,49.905,4.3,3
-21.4887,-68.5894,148.938,4.0,3
17.9415,-66.8465,11.85,2.67,1
43.8807,-105.3604,0.0,3.2,1
0.1711,129.64,10.0,4.5,3
18.479666666667,-65.906166666667,103.82,2.92,1
31.673,-104.361,6.0999,2.7,1
31.67,-104.363,6.3049,2.6,1
57.8588,155.7394,10.0,4.9,2
52.4255,163.6086,10.0,4.5,2
-4.5045,152.2189,104.384,4.2,3
31.674,-104.362,6.0999,3.5,1
31.676,-104.363,6.0999,2.5,1
31.668,-104.363,6.9714,3.3,1
-27.3008,-69.956,97.164,4.2,3
-40.6856,176.1199,26.146,4.5,3
-56.0161,-26.5191,34.327,4.6,3
0.5079,123.6649,260.89,4.7,3
60.5799,-139.9263,5.0,2.5,1
41.2616,142.4348,56.471,4.6,2
41.2106,142.4687,54.143,5.6,2
11.7644,143.2277,10.0,4.7,2
60.4981,-139.5992,5.0,3.1,1
60.481,-139.634,0.6,2.6,1
24.828,97.8254,10.0,4.4,2
57.898,-154.729,80.6,2.8,1
18.897,-66.300833333333,40.77,3.12,1
44.3631,149.0615,35.0,4.8,2
60.8,-150.178,42.4,2.9,1
54.8533,-160.8714,22.179,2.6,1
51.5335,179.3886,66.973,2.8,2
60.5601,-139.8061,5.0,3.2,1
-26.6316,-176.2731,10.0,5.0,3
60.7914,-140.0707,5.0,3.9,1
-61.1533,-35.4998,10.0,4.7,3
-61.2585,-35.6231,10.0,4.5,3
60.4413,-139.5697,1.134,2.9,1
18.132,-66.373,7.99,2.61,1
-61.0958,-36.1709,10.0,4.4,3
-61.2144,-36.2321,10.0,4.6,3
15.0232,147.7715,10.0,4.5,2
-61.1332,-36.3328,10.0,5.0,3
-61.1895,-36.1611,10.0,4.4,3
19.143333333333,-67.979666666667,24.95,3.43,1
47.526,-122.77416666667,22.71,2.82,1
60.078,-140.773,1.8,2.6,1
-15.8352,-74.7509,25.018,4.4,3
44.4598,149.0076,58.296,4.4,2
52.5535,-169.0531,35.0,3.0,1
60.4579,-139.5496,5.0,2.5,1
18.943666666667,-64.531833333333,42.27,3.13,1
-26.6063,-114.6182,10.0,4.6,3
62.024,-151.776,107.9,3.1,1
-22.1152,-179.5665,611.176,4.3,0
40.388333333333,-124.7045,22.52,2.9,1
51.3849,159.5603,10.0,4.4,2
51.6544,179.5824,76.959,3.2,2
3.1466,125.7941,138.464,4.3,3
6.6699,-72.9808,173.442,4.3,3
60.6338,-139.9847,5.0,2.8,1
52.1499,-169.6467,35.0,2.9,1
-20.3859,-177.8699,553.516,4.3,0
-28.8122,-71.539,27.31,3.9,3
53.4598,-161.174,10.0,2.8,1
18.955333333333,-155.55316666667,40.13,3.2,1
31.667,-104.357,6.5613,2.6,1
43.6603,147.8058,47.63,4.9,2
34.0687,-5.5488,10.0,4.1,2
11.7823,143.1062,10.0,5.1,2
72.1242,1.1624,10.0,5.0,2
-17.6371,-175.1886,272.933,4.3,0
72.0647,0.9333,10.0,4.3,2
58.3341,-32.1459,10.0,4.8,2
43.8008,-105.3267,0.0,3.2,1
6.3659,123.9582,529.927,4.0,0
-57.3621,148.6989,10.0,4.7,3
43.5549,-105.2539,0.0,3.3,1
-33.461,78.0184,10.0,4.5,3
-22.7284,170.9369,10.0,4.4,3
34.003,-116.76616666667,15.6,2.86,1
-33.2603,77.945,10.0,4.4,3
22.8735,121.2247,7.075,4.2,2
43.7595,147.7755,55.342,4.1,2
37.743333333333,-121.95,9.11,2.97,1
